id,input_text,output_text,direction,tone,audience,cultural_context
401,"Sylhet er cha bagan dekhe mone holo, ekhane theke jete ichha korche na","Seeing Sylhet's tea gardens, I don't feel like leaving here",banglish_to_english,scenic_appreciation,tea_garden_tourists,sylhet_natural_beauty
402,Cox's Bazar beach hotel booking requires advance payment in taka only,Cox's Bazar beach hotel booking e advance payment shudhu taka te lagbe,english_to_banglish,travel_preparation,accommodation_requirements,beach_destination_planning
403,"Dhaka te ferot eshe first e Hajir Biriyani khabo, eta miss korte pari na","Returning to Dhaka, first I'll eat Hajir Biriyani, can't miss this",banglish_to_english,food_nostalgia,homecoming_priorities,iconic_dhaka_cuisine
404,Pathao bike service works faster than CNG through Old Dhaka's narrow lanes,Puran Dhaka er choto rasta diye Pathao bike CNG er theke fast jay,english_to_banglish,transport_efficiency,traffic_navigation,old_dhaka_mobility
405,"Chittagong er fish market theke taza mach kinbo, Dhaka te emon pawa jay na","Will buy fresh fish from Chittagong's fish market, can't get this quality in Dhaka",banglish_to_english,regional_food_quality,coastal_seafood_preference,chittagong_market_superiority
406,Uber car booking fails during heavy Dhaka monsoon but rickshaw wala still available,Dhaka er bhorsha brishti te Uber car booking fail hoy kintu rickshaw wala available thake,english_to_banglish,weather_transport_reliability,monsoon_commute_challenges,traditional_vs_modern_transport
407,"Rajshahi te giye mishti mukh korbo, local sweet shop gulo famous","Going to Rajshahi, will taste sweets, local sweet shops are famous",banglish_to_english,regional_dessert_tourism,culinary_travel_goals,rajshahi_sweet_culture
408,Foodpanda delivery reaches even remote areas of Barisal during flood season,Flood er shomoy o Foodpanda delivery Barisal er dur dur jayga te pohuche,english_to_banglish,service_accessibility,weather_resilience,rural_delivery_reach
409,"Rangpur er pitha festival e jabo, winter e etar taste alada","Will go to Rangpur's pitha festival, its taste is different in winter",banglish_to_english,seasonal_food_festival,winter_culinary_traditions,rangpur_cultural_events
410,CNG auto rickshaw driver knows shortcuts through every Dhaka neighborhood traffic,Dhaka er shobai moholla er traffic er moddhe diye CNG driver shortcut jane,english_to_banglish,local_navigation_expertise,driver_route_knowledge,dhaka_traffic_mastery
411,"Khulna theke shundarbon tour korbo, boat booking advance e korte hobe","Will tour Sundarbans from Khulna, boat booking needs to be done in advance",banglish_to_english,mangrove_tourism_planning,adventure_travel_preparation,khulna_sundarbans_gateway
412,Mobile network coverage drops completely in remote tea garden areas of Sylhet,Sylhet er dur dur cha bagan e mobile network coverage bilkul nei,english_to_banglish,connectivity_challenges,rural_communication_gaps,tea_estate_isolation
413,"Rickshaw wala bhai, Puran Dhaka er Shakhari Bazar e jaben?","Rickshaw driver brother, will you go to Shakhari Bazar in Old Dhaka?",banglish_to_english,destination_inquiry,traditional_market_visit,old_dhaka_commercial_areas
414,Hotel room booking confirmation arrives exactly when train reaches Chittagong station,Train Chittagong station e pouchhe hotel room booking confirmation ashe,english_to_banglish,travel_timing_coordination,arrival_synchronization,port_city_accommodation
415,"Fuchka wala bhai Dhanmondi te better spice control kore, New Market er theke",Fuchka vendor brother has better spice control in Dhanmondi than New Market,banglish_to_english,area_food_quality_comparison,vendor_skill_assessment,dhaka_neighborhood_food_culture
416,Pathao food delivery timing perfectly matches office lunch break in Motijheel,Motijheel e office lunch break er sathe Pathao food delivery timing perfectly match kore,english_to_banglish,workplace_meal_coordination,commercial_district_dining,office_area_food_services
417,"Sylhet er cha dokan e boshe pahar dekha jay, Dhaka er pollution nei","Sitting at Sylhet's tea stall, mountains are visible, no Dhaka pollution",banglish_to_english,environmental_contrast,scenic_tea_culture,air_quality_comparison
418,Cox's Bazar hotel staff learned basic Chittagonian dialect for tourist communication,Cox's Bazar hotel staff tourist der sathe kotha bolte Chittagonian dialect shikhche,english_to_banglish,hospitality_language_adaptation,regional_dialect_accommodation,beach_tourism_service
419,"Barisal er naukay koira fish market jai, CNG auto rickshaw cholbe na okhane","Going to fish market by boat in Barisal, CNG auto rickshaw won't run there",banglish_to_english,waterway_transportation,regional_transport_methods,riverine_city_mobility
420,Street food tastes completely different in each division but taka price stays similar,Prottek division e street food er taste alada kintu taka price almost same,english_to_banglish,regional_cuisine_diversity,pricing_consistency,culinary_travel_economics
421,"Rangpur er winter e rickshaw chapa khub shokto, gaye blanket diye cholte hoy","In Rangpur's winter, rickshaw riding is very hard, have to travel wrapped in blankets",banglish_to_english,seasonal_transport_challenges,northern_climate_difficulties,winter_commute_reality
422,Uber driver refuses trips to remote areas beyond Dhaka metropolitan limits,Dhaka metropolitan area er baire dur jayga te Uber driver jete chay na,english_to_banglish,service_boundary_limitations,urban_transport_constraints,metropolitan_service_radius
423,Khulna er mach bazar e taka count korte giye confuse hoye jabo,"Going to count taka at Khulna's fish market, I'll get confused",banglish_to_english,currency_handling_anxiety,market_transaction_stress,coastal_city_commerce
424,Foodpanda accepts only digital payment but rural tea stalls prefer cash transactions,Foodpanda shudhu digital payment ney kintu gram er cha dokan cash prefer kore,english_to_banglish,payment_method_divide,urban_rural_transaction_preferences,digital_adoption_gaps
425,"Chittagong port e ship dekhte giye mobile er battery shesh, charger nei","Went to see ships at Chittagong port, mobile battery finished, no charger",banglish_to_english,sightseeing_tech_failure,port_tourism_challenges,device_dependency_travel
426,Local rickshaw wala knows every shortcut through Rajshahi's university area traffic,Rajshahi university area er traffic er moddhe diye local rickshaw wala shob shortcut jane,english_to_banglish,campus_area_navigation,student_transport_knowledge,university_city_mobility
427,Dhaka te fire eshe prothom kemon lagche? Sylhet er theke onek alada,How does it feel coming back to Dhaka? Very different from Sylhet,banglish_to_english,homecoming_adjustment,regional_contrast_feelings,cultural_transition_experience
428,Hotel breakfast menu changes completely based on which division you're visiting,Kon division e visit korcho tar opor hotel breakfast menu completely change hoy,english_to_banglish,regional_hospitality_customization,divisional_cuisine_adaptation,travel_accommodation_variety
429,"CNG auto rickshaw meter cholche na, Barisal e shobshomoy negotiate korte hoy","CNG auto rickshaw meter isn't working, in Barisal always have to negotiate",banglish_to_english,regional_transport_pricing,meter_malfunction_culture,fare_negotiation_reality
430,"Train journey shesh, finally Dhaka station e neme ghor er dike jabo","Train journey finished, finally getting off at Dhaka station and heading home",banglish_to_english,journey_completion_relief,homeward_travel_conclusion,arrival_satisfaction
