id,input_text,output_text,direction,tone,audience,cultural_context
331,"Bhaiya, power bank ta charge kora ache? Train e charging port pabo na","Brother, is the power bank charged? I won't find a charging port on the train",banglish_to_english,practical_concern,travelers,device_dependency_drama
332,The rickshaw driver refuses to use the meter and quotes double rate,Rickshaw wala meter use korte chay na ar double rate bolche,english_to_banglish,frustrated,fare_negotiators,transport_pricing_conflicts
333,Kemon acho uncle? Ajke fuchka gulo ektu beshi chatpati banaben,How are you uncle? Make today's fuchkas a bit more tangy please,banglish_to_english,friendly_request,regular_customers,vendor_customization_culture
334,My grandmother insists on cash payments everywhere we go,Nani jekhanei jai cash diye pay korte bole,english_to_banglish,generational_humor,payment_preferences,digital_resistance_culture
335,Ghor e kukur ta ke ante parbo? Landlord permission debe kina,Can I bring the dog home? Will the landlord give permission?,banglish_to_english,housing_concern,pet_owners,rental_pet_policies
336,Street food tastes better when shared with complete strangers,Ojana manush der sathe street food share korle taste bhalo lage,english_to_banglish,social_observation,community_bonding,shared_eating_culture
337,"Dhanyabad ma, tumi WiFi password ta finally shikhiye diyecho","Thank you mom, you finally taught me the WiFi password",banglish_to_english,tech_gratitude,family_tech_learning,password_sharing_struggles
338,The hotel room's AC makes more noise than a rickshaw engine,Hotel room er AC rickshaw er engine theke beshi awaz kore,english_to_banglish,accommodation_complaint,comfort_expectations,noise_comparison_humor
339,"Cha dokan e boshle shara din kete jay, newspaper ar adda","Sitting at the tea stall, the whole day passes with newspaper and chat",banglish_to_english,leisurely_social,community_gathering,social_hub_culture
340,Train delays mean missing connecting flights to international destinations,Train late hole international flight miss hoye jay,english_to_banglish,travel_anxiety,transit_connections,scheduling_stress_reality
341,"Rickshaw wala bhai, music ta ektu kom koren, phone e important call","Rickshaw driver brother, lower the music, important call on phone",banglish_to_english,polite_transport_request,professional_calls,public_space_communication
342,The neighborhood kukur recognizes delivery guys and never barks at them,Moholla er kukur delivery guy der chene ar bark kore na,english_to_banglish,community_observation,animal_intelligence,local_familiarity_patterns
343,"Ma, Instagram e photo upload korte hole data lagbe na?","Mom, won't uploading photos to Instagram require data?",banglish_to_english,data_concern,social_media_learning,cost_conscious_usage
344,Hotel breakfast timing conflicts with morning prayer schedule perfectly,Hotel er breakfast time ar fajr prayer er time perfectly clash kore,english_to_banglish,religious_scheduling,accommodation_conflicts,prayer_meal_coordination
345,Fuchka wala uncle always jane ami koto spicy khete pari,The fuchka vendor uncle always knows how spicy I can handle,banglish_to_english,vendor_familiarity,customer_recognition,personalized_service_appreciation
346,My boyfriend learned to bargain in Bengali faster than speaking it,Amar boyfriend Bengali te bargain kora speaking er theke fast shikhche,english_to_banglish,relationship_humor,cultural_adaptation,practical_language_priorities
347,Power cut hole mobile charge korar upay ki? Generator ache kothao?,What's the solution for charging mobile during power cuts? Is there a generator somewhere?,banglish_to_english,infrastructure_concern,power_outage_solutions,device_charging_emergencies
348,The street dogs form unofficial security patrol for late night workers,Rat e kaj kora manush der jonno street dog ra security patrol kore,english_to_banglish,community_protection,animal_human_cooperation,night_safety_culture
349,Train ticket online book korte giye payment fail hoye gelo,Tried booking train ticket online but payment failed,banglish_to_english,digital_frustration,booking_difficulties,online_transaction_failures
350,Hotel staff learned our family's tea preferences within two days,Du din e hotel staff amader family er cha preference shikhye gelo,english_to_banglish,hospitality_appreciation,service_personalization,guest_recognition_culture
351,Cha dokaner uncle newspaper ta age thekei ready rakhe amader jonno,The tea stall uncle keeps our newspaper ready in advance,banglish_to_english,vendor_anticipation,customer_loyalty,predictive_service_culture
352,The rickshaw ride became impromptu city tour with driver's commentary,Rickshaw wala bhai er commentary diye ride ta city tour hoye gelo,english_to_banglish,transport_entertainment,local_guide_experience,spontaneous_tourism
353,"Ghora dekhe bhoy lagche, kintu chele ta bole 'gentle horse'","I'm scared seeing the horse, but the boy says 'gentle horse'",banglish_to_english,animal_anxiety,reassurance_moments,fear_comfort_interactions
354,Airport WiFi requires phone verification but international SIM doesn't work,Airport er WiFi te phone verify korte hole kintu international SIM kaj kore na,english_to_banglish,travel_connectivity,verification_barriers,international_roaming_issues
