id,input_text,output_text,direction ,tone ,audience,cultural_ context
21,Amma visa interview e nervous hoye jabo,Mom I'll get nervous in the visa interview,banglish_to_english,casual,diaspora,Seeking maternal comfort before major life transitions - reflects deep family bonds in Bengali culture during international mobility
22,The monsoon flooding situation looks serious,Borsha er bonna ta serious dekhacche,english_to_banglish,professional,expat_professional,Foreign professionals learning to discuss seasonal challenges using appropriate local terminology for workplace conversations
23,Fufu tumi ki meditation practice koro,Aunt do you practice meditation regularly,banglish_to_english,casual,mixed_households,Younger generation seeking wellness wisdom from elder Bengali women while respecting traditional family hierarchy
24,Your documentary about rural Bangladesh is powerful,Tomar gram er upor documentary ta powerful,english_to_banglish,professional,influencer,International filmmakers receiving recognition for authentic portrayal of Bengali village life and social issues
25,Bhai startup pitch e investor impress holo,Dude the investors were impressed by your startup pitch,banglish_to_english,casual,gen_z_diaspora,Bengali entrepreneurs celebrating business success while maintaining traditional brotherly address patterns in modern contexts
26,The street art scene here is incredibly vibrant,Ekhane street art er scene ta incredibly vibrant,english_to_banglish,casual,traveler,Foreign visitors expressing appreciation for Dhaka's urban creative culture using locally resonant language patterns
27,Chacha property investment er risk factor ki,Uncle what are the risk factors in property investment,banglish_to_english,professional,mixed_households,Cross-cultural financial planning discussions respecting Bengali elder consultation traditions in modern investment decisions
28,Remote learning platforms work differently here,Remote learning platform gula ekhane alada kaj korey,english_to_banglish,professional,researcher,Academic researchers documenting educational technology adoption patterns in South Asian contexts
29,Didi tumi freelancing e successful hoye gecho,Sister you've become successful in freelancing,banglish_to_english,casual,diaspora,Celebrating female entrepreneurship achievements while maintaining traditional sister-respect addressing common in Bengali families
30,The cultural festival planning needs more volunteers,Cultural festival er planning e aro volunteer dorkar,english_to_banglish,professional,expat_professional,Foreign community organizers learning to mobilize local support for multicultural events using appropriate community language
31,Nani Bitcoin price volatility bujhte parchen,Grandmother do you understand Bitcoin price volatility,banglish_to_english,unhinged,mixed_households,Generational gap humor - young Bengalis explaining cryptocurrency to traditional elders with affectionate absurdity
32,Your research methodology is quite innovative,Tomar research methodology ta quite innovative,english_to_banglish,professional,researcher,International academics praising Bengali researchers using respectful local communication patterns for scholarly collaboration
33,Mama coworking space ta productive environment,Bro the coworking space is a productive environment,banglish_to_english,casual,business_professional,Modern workplace discussions among Bengali professionals mixing traditional familiarity with contemporary work culture terminology
34,The food delivery apps are game-changing here,Food delivery app gula ekhane game-changing,english_to_banglish,casual,traveler,Foreign visitors adapting to local tech ecosystem and expressing enthusiasm using culturally appropriate intensifiers
35,Khalamoni social media marketing shikhaben,Dear aunt will you teach social media marketing,banglish_to_english,professional,mixed_households,Intergenerational skill transfer where younger family members seek digital expertise from Bengali elder women entrepreneurs
36,Your podcast about diaspora identity resonates deeply,Tomar diaspora identity niye podcast ta deeply resonate korey,english_to_banglish,casual,influencer,International creators connecting with Bengali audiences about shared cultural displacement experiences
37,Baba cryptocurrency tax implications bujhiye dao,Father please explain cryptocurrency tax implications,banglish_to_english,professional,gen_z_diaspora,Young Bengali professionals seeking paternal financial guidance on modern investment challenges while maintaining filial respect
38,The traditional craft workshops are absolutely fascinating,Traditional craft er workshop gula absolutely fascinating,english_to_banglish,casual,traveler,Foreign cultural enthusiasts expressing genuine appreciation for Bengali artisanal heritage using emotionally resonant local expressions
39,Bon AI startup funding round successful holo,Sister the AI startup funding round was successful,banglish_to_english,professional,business_professional,Tech entrepreneur siblings celebrating milestone achievements while preserving Bengali familial celebration patterns
40,Your thesis defense presentation was outstanding,Tomar thesis defense er presentation outstanding chilo,english_to_banglish,professional,researcher,International academic mentors acknowledging Bengali graduate students' scholarly achievements using appropriate recognition language
